Number of Districts,Runtime
10,2
20,2
30,2
40,2
50,2
60,2.1
70,2.2
80,2.4
90,2.4
100,2.4
110,4
120,5.9
130,4.8
140,16.5
150,21.3
160,65.7
170,95.1
180,101
190,150
200,1000
